Stadt,Temperatur,dataAvailability1,Tageshoechsttemperatur,dataAvailability2,Naechtl. Tiefsttemperatur,dataAvailability3,Frosttage,dataAvailability4,Eistage,dataAvailability5,Niederschlagsmenge,dataAvailability6,Niederschlagstage,dataAvailability7,Sonnenstunden pro Tag,dataAvailability8,Windstaerke,dataAvailability9,Schneetage,dataAvailability10,Schneehoehen,dataAvailability11
Bayerischer Wald,,,,,,,,,,,,,,,,,,,,,,
Bayreuth,,,,,,,,,,,,,,,,,,,,,,
Beckum,,,,,,,,,,,,,,,,,,,,,,
Beeskow,4.2,1.0,6.6,1.0,1.8,1.0,12.0,1.0,0.0,1.0,38.3,1.0,18.0,1.0,2.3,1.0,15.9,1.0,3.0,0.1,4.0,0.1
Belm,4.2,0.86,6.4,0.89,1.5,0.96,11.0,0.96,0.0,0.86,50.5,0.79,13.0,0.79,2.6,0.96,15.7,1.0,,,,
Berchtesgaden,,,,,,,,,,,,,,,,,,,,,,
Bergen,3.6,0.75,6.3,0.79,0.9,0.96,13.0,0.96,0.0,0.75,58.6,0.75,14.0,0.75,,,8.2,1.0,2.0,0.06,1.5,0.06
Bergheim,,,,,,,,,,,,,,,,,,,,,,
Bergisch Gladbach,,,,,,,,,,,,,,,,,,,,,,
Berlin,4.7,1.0,7.0,1.0,2.3,1.0,6.0,1.0,0.0,1.0,38.7,1.0,19.0,1.0,2.0,1.0,15.1,1.0,,,,
Berlin-Dahlem,4.7,0.96,7.2,0.96,2.0,1.0,9.0,1.0,0.0,0.96,46.4,0.93,17.0,0.93,2.4,1.0,16.3,1.0,1.0,0.03,49.0,0.03
Berlin-Mitte,,,,,,,,,,,,,,,,,,,,,,
Berlin-Tegel,4.6,1.0,7.0,1.0,2.1,1.0,10.0,1.0,0.0,1.0,32.8,1.0,18.0,1.0,1.9,1.0,17.7,1.0,,,,
Bernburg,,,,,,,,,,,,,,,,,,,,,,
Berus,4.3,0.86,6.3,0.89,1.9,0.96,9.0,0.96,0.0,0.86,,,,,2.1,0.96,22.5,1.0,,,,
Biberach,3.7,1.0,6.4,1.0,1.1,1.0,13.0,1.0,0.0,1.0,,,,,,,17.1,1.0,5.0,0.17,2.8,0.17
Bielefeld,,,,,,,,,,,,,,,,,,,,,,
Birkenfeld,,,,,,,,,,,,,,,,,,,,,,
Bitburg,,,5.4,0.93,,,,,,,,,,,,,17.3,1.0,,,,
Bitterfeld,,,,,,,,,,,,,,,,,,,,,,
Bleilochtalsperre,,,,,,,,,,,,,,,,,,,,,,
Bliesdorf,,,,,,,,,,,,,,,,,,,,,,
Boeblingen,,,,,,,,,,,,,,,,,,,,,,
Bochum,,,,,,,,,,,,,,,,,,,,,,
Bodenmais,,,,,,,,,,,,,,,,,,,,,,
Bodensee,,,,,,,,,,,,,,,,,,,,,,
Boizenburg/Elbe,4.0,0.86,6.2,0.89,1.3,0.96,9.0,0.96,0.0,0.86,52.4,0.75,15.0,0.75,2.3,0.96,15.5,1.0,,,,
Bonn,,,,,,,,,,,,,,,,,,,,,,
Borken,,,,,,,,,,,,,,,,,,,,,,
Borkum,,,,,,,,,,,,,,,,,,,,,,
Borna,,,,,,,,,,,,,,,,,,,,,,
Bottrop,,,,,,,,,,,,,,,,,,,,,,
Brake,,,,,,,,,,,,,,,,,,,,,,
Bramsche,,,,,,,,,,,,,,,,,,,,,,
Brandenburg,,,,,,,,,,,,,,,,,,,,,,
Braunschweig,4.1,1.0,6.5,1.0,1.7,1.0,11.0,1.0,0.0,1.0,37.8,0.75,13.0,0.75,2.6,0.96,15.7,1.0,,,,
Bremen,3.7,1.0,6.4,1.0,1.1,1.0,13.0,1.0,0.0,1.0,76.8,1.0,16.0,1.0,3.0,1.0,19.2,1.0,1.0,0.03,1.0,0.03
Bremerhaven,4.4,0.89,6.4,0.89,2.1,1.0,7.0,1.0,0.0,0.89,50.9,0.82,15.0,0.82,2.6,1.0,22.9,1.0,2.0,0.06,1.0,0.06
Bremervoerde,4.1,0.89,6.5,0.89,1.2,1.0,10.0,1.0,0.0,0.89,57.0,0.82,15.0,0.82,2.2,0.96,17.1,1.0,,,,
Bretten,,,,,,,,,,,,,,,,,,,,,,
Brilon,,,,,,,,,,,,,,,,,,,,,,
Brotterode,,,,,,,,,,,,,,,,,,,,,,
Bruchsal,,,,,,,,,,,,,,,,,,,,,,
Buchen,,,,,,,,,,,,,,,,,,,,,,
Buchholz in der Nordheide,,,,,,,,,,,,,,,,,,,,,,
Buedingen,,,,,,,,,,,,,,,,,,,,,,
Bueren,,,4.9,1.0,,,,,,,,,,,,,17.4,1.0,,,,
Burg,,,,,,,,,,,,,,,,,,,,,,
Calden,,,5.4,1.0,,,,,,,,,,,,,16.8,1.0,,,,
Calw,,,,,,,,,,,,,,,,,,,,,,
Castrop-Rauxel,,,,,,,,,,,,,,,,,,,,,,
Celle,3.8,1.0,6.5,1.0,1.1,1.0,12.0,1.0,0.0,1.0,37.2,0.58,11.0,0.58,,,16.3,1.0,1.0,0.03,1.0,0.03
Cham,,,,,,,,,,,,,,,,,,,,,,
Chemnitz,3.2,0.86,5.4,0.89,0.7,0.96,15.0,0.96,1.0,0.86,47.6,0.75,13.0,0.75,2.0,0.96,21.6,1.0,2.0,0.06,3.0,0.06
Cloppenburg,,,,,,,,,,,,,,,,,,,,,,
Coburg,,,,,,,,,,,,,,,,,,,,,,
Cochem,,,,,,,,,,,,,,,,,,,,,,
Coesfeld,,,,,,,,,,,,,,,,,,,,,,
Cottbus,4.5,1.0,7.4,1.0,1.6,1.0,7.0,1.0,0.0,1.0,51.0,1.0,19.0,1.0,2.2,1.0,12.8,1.0,2.0,0.06,2.5,0.06
Crailsheim,,,,,,,,,,,,,,,,,,,,,,
Cuxhaven,4.3,1.0,6.0,1.0,2.6,1.0,4.0,1.0,0.0,1.0,97.5,1.0,20.0,1.0,2.3,1.0,21.6,1.0,,,,
Dachau,,,,,,,,,,,,,,,,,,,,,,
Dahlem,,,,,,,,,,,,,,,,,,,,,,
Darmstadt,,,,,,,,,,,,,,,,,,,,,,
Daun,2.1,0.89,4.3,0.93,0.0,0.93,15.0,0.93,2.0,0.89,23.0,0.2,5.0,0.2,,,17.6,0.96,4.0,0.13,5.8,0.13
Deggendorf,,,,,,,,,,,,,,,,,,,,,,
Delitzsch,,,,,,,,,,,,,,,,,,,,,,
Delmenhorst,,,,,,,,,,,,,,,,,,,,,,
Demmin,,,,,,,,,,,,,,,,,,,,,,
Denkendorf,3.4,0.86,6.0,0.89,0.8,0.96,12.0,0.96,0.0,0.86,40.2,0.79,14.0,0.79,1.8,0.96,13.5,1.0,,,,
Dessau,,,,,,,,,,,,,,,,,,,,,,
Detmold,,,,,,,,,,,,,,,,,,,,,,
Deutsche Bucht,5.5,0.79,6.2,0.89,4.2,0.89,1.0,0.89,0.0,0.79,,,,,2.1,0.89,,,,,,
Deutsche Bucht - Seegebiet,,,,,,,,,,,,,,,,,,,,,,
Diepholz,4.0,0.89,6.7,0.89,1.0,1.0,12.0,1.0,0.0,0.89,46.6,0.75,13.0,0.75,2.8,0.96,17.7,1.0,3.0,0.1,1.7,0.1
Dillingen an der Donau,,,,,,,,,,,,,,,,,,,,,,
Dingolfing,,,,,,,,,,,,,,,,,,,,,,
Dinslaken,,,,,,,,,,,,,,,,,,,,,,
Dippoldiswalde,,,,,,,,,,,,,,,,,,,,,,
Doebeln,,,,,,,,,,,,,,,,,,,,,,
Dormagen,,,,,,,,,,,,,,,,,,,,,,
Dorsten,,,,,,,,,,,,,,,,,,,,,,
Dortmund,,,5.8,1.0,,,,,,,,,,,,,18.8,1.0,,,,
Dresden,4.0,1.0,6.5,1.0,1.5,1.0,10.0,1.0,0.0,1.0,44.2,1.0,18.0,1.0,2.3,1.0,19.1,1.0,2.0,0.06,1.5,0.06
Duisburg,,,,,,,,,,,,,,,,,,,,,,
Duelmen,,,,,,,,,,,,,,,,,,,,,,
Dueren,4.9,1.0,7.5,1.0,2.3,1.0,8.0,1.0,0.0,1.0,,,,,2.9,0.96,13.2,1.0,1.0,0.03,2.0,0.03
Duernast,4.4,0.86,7.4,0.89,1.2,0.96,9.0,0.96,0.0,0.86,35.9,0.75,12.0,0.75,2.1,0.96,15.5,1.0,,,,
Duesseldorf,4.9,1.0,7.8,1.0,2.0,1.0,10.0,1.0,0.0,1.0,68.0,1.0,17.0,1.0,2.7,1.0,18.6,1.0,,,,
Ebermannstadt,,,,,,,,,,,,,,,,,,,,,,
Ebersberg,,,,,,,,,,,,,,,,,,,,,,
Eberswalde,,,,,,,,,,,,,,,,,,,,,,
Edersee,,,,,,,,,,,,,,,,,,,,,,
Egelsbach,,,4.0,0.03,,,,,,,,,,,,,13.4,1.0,,,,
Eggebek,,,,,,,,,,,,,,,,,,,,,,
Ehingen,,,,,,,,,,,,,,,,,,,,,,
Eichstaett,,,,,,,,,,,,,,,,,,,,,,
Eilenburg,,,,,,,,,,,,,,,,,,,,,,
Eilsleben,4.0,0.86,6.3,0.89,1.4,0.96,12.0,0.96,0.0,0.86,29.2,0.75,16.0,0.75,2.6,0.96,20.1,1.0,,,,
Einbeck,,,,,,,,,,,,,,,,,,,,,,
Eisenach,3.5,0.86,5.7,0.89,1.0,0.96,10.0,0.96,2.0,0.86,38.5,0.79,14.0,0.79,1.6,0.96,17.2,1.0,,,,
Eisenberg,,,,,,,,,,,,,,,,,,,,,,
Eisleben,,,,,,,,,,,,,,,,,,,,,,
Emden,4.2,1.0,6.7,1.0,1.7,1.0,10.0,1.0,0.0,1.0,64.9,1.0,19.0,1.0,2.9,1.0,18.0,1.0,3.0,0.1,1.0,0.1
Emmendingen,,,,,,,,,,,,,,,,,,,,,,
Enkenbach-Alsenborn,,,,,,,,,,,,,,,,,,,,,,
Erbach,,,,,,,,,,,,,,,,,,,,,,
Erding,,,,,,,,,,,,,,,,,,,,,,
Erftstadt,,,,,,,,,,,,,,,,,,,,,,
Erfurt,3.1,1.0,5.6,1.0,0.7,1.0,13.0,1.0,2.0,1.0,29.4,1.0,20.0,1.0,1.9,1.0,20.8,1.0,5.0,0.17,1.6,0.17
Erkelenz,,,,,,,,,,,,,,,,,,,,,,
Erlangen,,,,,,,,,,,,,,,,,,,,,,
Erzgebirge/W,-0.6,0.86,1.2,0.89,-2.6,0.96,23.0,0.96,11.0,0.86,79.2,0.75,17.0,0.75,,,13.3,1.0,,,,
Eschwege,,,,,,,,,,,,,,,,,,,,,,
Espelkamp,,,,,,,,,,,,,,,,,,,,,,
Essen,4.5,1.0,6.7,1.0,2.2,1.0,8.0,1.0,0.0,1.0,103.5,1.0,21.0,1.0,2.5,1.0,15.4,1.0,1.0,0.03,1.0,0.03
Esslingen am Neckar,,,,,,,,,,,,,,,,,,,,,,
Euskirchen,,,,,,,,,,,,,,,,,,,,,,
Eutin,,,,,,,,,,,,,,,,,,,,,,
Fehmarn,3.4,1.0,4.9,1.0,1.9,1.0,8.0,1.0,0.0,1.0,44.4,0.89,18.0,0.89,2.4,0.82,25.1,1.0,,,,
Fehmarnbelt,,,,,,,,,,,,,,,,,,,,,,
Feldberg,3.5,0.86,5.7,0.89,1.1,0.96,13.0,0.96,0.0,0.86,41.2,0.75,17.0,0.75,1.9,0.96,17.2,1.0,,,,
Feuchtwangen,,,,,,,,,,,,,,,,,,,,,,
Fichtelberg,-2.5,1.0,-1.0,1.0,-4.0,1.0,26.0,1.0,20.0,1.0,102.5,0.93,21.0,0.93,1.1,1.0,42.7,1.0,29.0,1.0,37.9,1.0
Finsterwalde,4.5,0.86,7.5,0.89,1.4,0.96,11.0,0.96,0.0,0.86,42.5,0.75,13.0,0.75,2.2,0.96,14.4,1.0,,,,
Fischland-Darß-Zingst,3.7,0.86,6.1,0.89,0.8,0.96,10.0,0.96,0.0,0.86,33.5,0.75,13.0,0.75,3.0,0.96,19.1,1.0,1.0,0.03,1.0,0.03
Flensburg,3.7,1.0,5.9,1.0,1.6,1.0,8.0,1.0,0.0,1.0,53.5,0.75,14.0,0.75,,,24.8,1.0,,,,
Fliegerhorst Meppen,3.8,1.0,6.1,1.0,1.4,1.0,11.0,1.0,0.0,1.0,,,,,,,10.9,1.0,,,,
Foehr,,,,,,,,,,,,,,,,,,,,,,
Forchheim,,,,,,,,,,,,,,,,,,,,,,
Forst,,,,,,,,,,,,,,,,,,,,,,
Frankenberg,,,,,,,,,,,,,,,,,,,,,,
Frankenthal,,,,,,,,,,,,,,,,,,,,,,
Frankfurt,4.9,1.0,7.7,1.0,2.2,1.0,11.0,1.0,0.0,1.0,76.3,1.0,17.0,1.0,1.6,1.0,17.6,1.0,,,,
Frankfurt (Oder),,,,,,,,,,,,,,,,,,,,,,
Freiberg,,,,,,,,,,,,,,,,,,,,,,
Freiburg,6.4,0.86,9.2,0.89,3.3,0.96,6.0,0.96,0.0,0.86,58.3,0.75,14.0,0.75,1.9,0.96,16.5,1.0,2.0,0.06,3.0,0.06
Freiburg/Elbe,,,,,,,,,,,,,,,,,,,,,,
Freising,4.4,1.0,7.9,1.0,0.8,1.0,11.0,1.0,0.0,1.0,53.1,0.93,16.0,0.93,1.9,0.93,17.1,1.0,6.0,0.2,1.3,0.2
Freudenstadt,1.6,1.0,3.4,1.0,-0.1,1.0,17.0,1.0,6.0,1.0,189.3,1.0,21.0,1.0,1.4,1.0,17.1,1.0,20.0,0.68,5.4,0.68
Freyung,,,,,,,,,,,,,,,,,,,,,,
Friedberg,,,,,,,,,,,,,,,,,,,,,,
Friedrichshafen,,,7.1,1.0,,,,,,,,,,,,,12.1,1.0,,,,
Friesoythe,4.5,0.86,6.7,0.89,1.9,0.96,10.0,0.96,0.0,0.86,,,,,,,19.3,1.0,,,,
Fritzlar,3.7,1.0,6.2,1.0,1.2,1.0,12.0,1.0,0.0,1.0,47.5,0.93,17.0,0.93,,,14.1,1.0,,,,
Fulda,,,,,,,,,,,,,,,,,,,,,,
Fuerstenberg/Havel,,,,,,,,,,,,,,,,,,,,,,
Fuerstenfeldbruck,,,,,,,,,,,,,,,,,,,,,,
Fuerstenwalde/Spree,,,,,,,,,,,,,,,,,,,,,,
Fuerstenzell,4.0,1.0,7.1,1.0,0.9,1.0,9.0,1.0,0.0,1.0,89.8,1.0,20.0,1.0,2.4,1.0,14.2,1.0,6.0,0.2,1.0,0.2
Fuerth,,,,,,,,,,,,,,,,,,,,,,
Fuessen,,,,,,,,,,,,,,,,,,,,,,
Garmisch-Partenkirchen,3.7,0.86,8.0,0.89,-0.7,0.96,16.0,0.96,0.0,0.86,73.0,0.75,14.0,0.75,2.5,0.96,5.7,1.0,11.0,0.37,1.5,0.37
Geisenheim,5.6,0.86,8.3,0.89,2.7,0.96,9.0,0.96,0.0,0.86,30.2,0.75,11.0,0.75,2.0,0.96,12.4,1.0,,,,
Geislingen an der Steige,2.2,1.0,4.4,1.0,0.0,1.0,17.0,1.0,3.0,1.0,84.6,1.0,17.0,1.0,1.6,1.0,22.8,1.0,18.0,0.62,4.5,0.62
Gelsenkirchen,,,,,,,,,,,,,,,,,,,,,,
Genthin,4.5,0.86,7.3,0.89,1.4,0.96,11.0,0.96,0.0,0.86,34.8,0.75,14.0,0.75,2.4,0.96,14.6,1.0,,,,
Georgsmarienhuette,,,,,,,,,,,,,,,,,,,,,,
Gera,3.2,1.0,5.6,1.0,0.8,1.0,12.0,1.0,2.0,1.0,39.0,1.0,18.0,1.0,1.7,1.0,18.5,1.0,5.0,0.17,2.6,0.17
Germersheim,,,,,,,,,,,,,,,,,,,,,,
Giebelstadt,,,,,,,,,,,,,,,,,,,,,,
Gießen,3.9,1.0,6.4,1.0,1.4,1.0,11.0,1.0,0.0,1.0,50.3,1.0,18.0,1.0,1.6,1.0,16.8,1.0,8.0,0.27,1.0,0.27
Gifhorn,,,,,,,,,,,,,,,,,,,,,,
Gladbeck,,,,,,,,,,,,,,,,,,,,,,
Glauchau,,,,,,,,,,,,,,,,,,,,,,
Goehl,,,,,,,,,,,,,,,,,,,,,,
Goldberg,3.9,0.86,6.0,0.89,1.5,0.96,11.0,0.96,0.0,0.86,50.2,0.75,18.0,0.75,2.3,0.96,15.7,1.0,,,,
Goeppingen,,,,,,,,,,,,,,,,,,,,,,
Goerlitz,3.8,0.96,6.3,0.96,1.3,1.0,11.0,1.0,1.0,0.96,54.5,1.0,21.0,1.0,2.4,1.0,17.6,1.0,3.0,0.1,3.7,0.1
Goslar,,,,,,,,,,,,,,,,,,,,,,
Gotha,,,,,,,,,,,,,,,,,,,,,,
Gottfrieding,4.5,0.86,8.0,0.89,0.6,0.96,12.0,0.96,0.0,0.86,33.4,0.79,12.0,0.79,2.3,0.96,14.2,1.0,,,,
Goettingen,4.4,0.86,6.9,0.89,1.5,0.96,12.0,0.96,0.0,0.86,38.4,0.75,16.0,0.75,2.0,0.96,14.8,1.0,,,,
Grafenwoehr,,,4.4,0.93,,,,,,,,,,,,,7.8,1.0,,,,
Greifswald,3.7,1.0,5.9,1.0,1.6,1.0,10.0,1.0,0.0,1.0,39.4,1.0,20.0,1.0,2.3,1.0,15.0,1.0,1.0,0.03,2.0,0.03
Greifswalder Oie,3.4,0.89,4.7,0.89,2.1,1.0,2.0,1.0,0.0,0.89,35.4,0.82,14.0,0.82,3.3,1.0,26.7,1.0,,,,
Greiz,,,,,,,,,,,,,,,,,,,,,,
Grevesmuehlen,3.9,0.86,6.0,0.89,1.6,0.96,9.0,0.96,0.0,0.86,49.1,0.75,15.0,0.75,1.9,0.96,23.8,1.0,,,,
Grimma,,,,,,,,,,,,,,,,,,,,,,
Grimmen,,,,,,,,,,,,,,,,,,,,,,
Großenhain,,,,,,,,,,,,,,,,,,,,,,
Großer Arber,-2.6,1.0,-0.8,1.0,-4.3,1.0,25.0,1.0,19.0,1.0,,,,,1.3,1.0,31.4,1.0,28.0,0.96,86.0,0.96
Großer Ploener See,,,,,,,,,,,,,,,,,,,,,,
Groß-Gerau,,,,,,,,,,,,,,,,,,,,,,
Gummersbach,,,,,,,,,,,,,,,,,,,,,,
Guenzburg,,,,,,,,,,,,,,,,,,,,,,
Guestrow,,,,,,,,,,,,,,,,,,,,,,
Guetersloh,,,,,,,,,,,,,,,,,,,,,,
Hagen,,,,,,,,,,,,,,,,,,,,,,
Hagenow,,,,,,,,,,,,,,,,,,,,,,
Hahn,2.5,1.0,4.4,1.0,0.7,1.0,14.0,1.0,3.0,1.0,87.3,1.0,18.0,1.0,1.8,1.0,20.9,1.0,7.0,0.24,5.0,0.24
Halberstadt,,,,,,,,,,,,,,,,,,,,,,
Haldensleben,,,,,,,,,,,,,,,,,,,,,,
Halle,,,,,,,,,,,,,,,,,,,,,,
Hamburg,3.7,1.0,6.1,1.0,1.3,1.0,9.0,1.0,0.0,1.0,99.0,1.0,21.0,1.0,2.0,1.0,17.6,1.0,3.0,0.1,1.3,0.1
Hameln,,,,,,,,,,,,,,,,,,,,,,
Hamm,,,,,,,,,,,,,,,,,,,,,,
Hanau,,,,,,,,,,,,,,,,,,,,,,
Hann. Muenden,,,,,,,,,,,,,,,,,,,,,,
Hannover,4.2,1.0,6.7,1.0,1.6,1.0,11.0,1.0,0.0,1.0,51.6,1.0,17.0,1.0,2.8,1.0,17.4,1.0,,,,
Harz,0.8,0.86,2.7,0.89,-1.4,0.96,19.0,0.96,5.0,0.86,158.0,0.75,16.0,0.75,1.5,0.96,13.2,1.0,,,,
Harzgerode,2.3,0.86,4.6,0.89,-0.3,0.96,14.0,0.96,2.0,0.86,28.9,0.75,13.0,0.75,1.9,0.96,16.2,1.0,,,,
Haßfurt,,,,,,,,,,,,,,,,,,,,,,
Heide,4.1,0.86,6.1,0.86,1.7,1.0,8.0,1.0,0.0,0.86,36.0,0.82,17.0,0.82,2.4,0.96,22.9,1.0,,,,
Heidelberg,,,,,,,,,,,,,,,,,,,,,,
Heidenheim an der Brenz,,,,,,,,,,,,,,,,,,,,,,
Heilbronn,,,,,,,,,,,,,,,,,,,,,,
Heiligenstadt,3.1,0.86,5.2,0.89,0.6,0.96,12.0,0.96,1.0,0.86,61.4,0.75,15.0,0.75,1.8,0.96,15.1,1.0,1.0,0.03,1.0,0.03
Heinsberg,4.4,0.65,6.4,0.68,2.1,0.68,5.0,0.68,0.0,0.65,,,,,,,17.2,0.82,1.0,0.03,1.0,0.03
Helgoland,4.7,1.0,5.8,1.0,3.5,1.0,1.0,1.0,0.0,1.0,55.6,1.0,18.0,1.0,2.9,1.0,32.0,1.0,,,,
Helmstedt,,,,,,,,,,,,,,,,,,,,,,
Heppenheim,,,,,,,,,,,,,,,,,,,,,,
Herbrechtingen,,,,,,,,,,,,,,,,,,,,,,
Herford,,,,,,,,,,,,,,,,,,,,,,
Herne,,,,,,,,,,,,,,,,,,,,,,
Herten,,,,,,,,,,,,,,,,,,,,,,
Herzberg,4.2,1.0,7.1,1.0,1.2,1.0,13.0,1.0,0.0,1.0,36.2,0.75,11.0,0.75,,,15.6,1.0,2.0,0.06,1.0,0.06
Hiddensee,,,,,,,,,,,,,,,,,,,,,,
Hildburghausen,,,,,,,,,,,,,,,,,,,,,,
Hildesheim,,,,,,,,,,,,,,,,,,,,,,
Hinterzarten,,,,,,,,,,,,,,,,,,,,,,
Hof,1.5,1.0,3.5,1.0,-0.5,1.0,15.0,1.0,3.0,1.0,70.3,1.0,19.0,1.0,1.3,1.0,14.7,1.0,14.0,0.48,3.3,0.48
Hofheim,,,,,,,,,,,,,,,,,,,,,,
Hohenpeißenberg,2.4,1.0,4.8,1.0,-0.1,1.0,18.0,1.0,8.0,1.0,74.1,1.0,19.0,1.0,2.5,1.0,22.5,1.0,20.0,0.68,9.6,0.68
Hohenwartetalsperre,,,,,,,,,,,,,,,,,,,,,,
Hoherodskopf,0.4,0.86,1.8,0.89,-1.3,0.96,20.0,0.96,11.0,0.86,87.5,0.75,16.0,0.75,1.3,0.96,22.9,1.0,,,,
Hohn,3.4,1.0,5.8,1.0,0.9,1.0,12.0,1.0,0.0,1.0,49.6,0.75,16.0,0.75,,,17.9,1.0,,,,
